profile_id,layer_index,base_idx,top_idx,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,base_pressure_hpa,top_pressure_hpa,base_temperature_c,top_temperature_c,depth_m,delta_t_c,mean_gradient_c_100m,position_type,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991230_1200_12,1,6,7,5120.6,5353.7,4440.6,4673.7,500.0,524.0,-46.099999999999966,-43.69999999999999,233.09999999999945,2.3999999999999773,1.0296010296010223,HE,0,0.0,gap_v3
31004_20000505_0000_00,0,5,7,2677.2,2890.3,1997.1999999999998,2210.3,726.0,707.0,-8.899999999999977,-8.299999999999955,213.10000000000036,0.6000000000000227,0.281557954012211,HE,0,0.0,gap_v3
31004_19991229_1200_12,0,0,3,680.0,1281.7,0.0,601.7,938.0,873.0,-28.49999999999997,-24.299999999999983,601.7,4.199999999999989,0.698022270234334,G,0,0.0,gap_v3
31004_19991228_1200_12,0,0,3,680.0,1049.3,0.0,369.29999999999995,930.0,890.0,-30.899999999999977,-21.299999999999983,369.29999999999995,9.599999999999994,2.5995125913891135,G,0,0.0,gap_v3
31004_19991228_1200_12,1,9,10,5090.6,5293.8,4410.6,4613.8,500.0,522.0,-40.89999999999998,-38.69999999999999,203.19999999999982,2.1999999999999886,1.0826771653543261,HE,0,0.0,gap_v3
31004_19991231_1200_12,0,0,3,680.0,1053.4,0.0,373.4000000000001,943.0,902.0,-35.69999999999999,-20.49999999999997,373.4000000000001,15.200000000000017,4.070701660417787,G,1,4.600000000000023,gap_v3
31004_20000101_1200_12,0,0,3,680.0,1050.6,0.0,370.5999999999999,950.0,909.0,-32.29999999999998,-22.899999999999977,370.5999999999999,9.400000000000006,2.5364274150027004,G,0,0.0,gap_v3
31004_20000102_1200_12,0,0,3,680.0,1277.1,0.0,597.0999999999999,945.0,880.0,-39.099999999999966,-15.099999999999966,597.0999999999999,24.0,4.019427231619495,G,0,0.0,gap_v3
31004_20000103_1200_12,0,0,2,680.0,1439.3,0.0,759.3,941.0,850.0,-30.69999999999999,-14.099999999999966,759.3,16.600000000000023,2.1862241538258953,G,0,0.0,gap_v3
31004_20000105_1200_12,0,0,1,680.0,3361.8,0.0,2681.8,955.0,688.0,-35.29999999999998,-28.69999999999999,2681.8,6.599999999999994,0.24610336341263309,G,0,0.0,gap_v3
31004_20000104_1200_12,0,0,3,680.0,1284.6,0.0,604.5999999999999,948.0,882.0,-28.49999999999997,-15.899999999999975,604.5999999999999,12.599999999999996,2.084022494211048,G,0,0.0,gap_v3
31004_20000109_1200_12,0,2,5,824.7,1960.1,144.70000000000005,1280.1,923.0,805.0,-30.09999999999997,-20.899999999999977,1135.3999999999999,9.199999999999992,0.8102871234807111,E,0,0.0,gap_v3
31004_20000106_1200_12,0,0,4,680.0,2952.6,0.0,2272.6,952.0,722.0,-39.49999999999997,-35.099999999999966,2272.6,4.400000000000006,0.19361084220716385,G,1,56.700000000000045,gap_v3
31004_20000106_1200_12,1,6,7,5140.7,5200.1,4460.7,4520.1,500.0,541.0,-41.89999999999998,-38.099999999999966,59.400000000000546,3.8000000000000114,6.397306397306358,HE,0,0.0,gap_v3
31004_20000110_1200_12,0,0,5,680.0,2179.6,0.0,1499.6,943.0,787.0,-29.899999999999977,-21.899999999999977,1499.6,8.0,0.5334755934915978,G,0,0.0,gap_v3
