profile_id,n_inversion_layers,has_G,has_E,has_HE,lowest_layer_index,strongest_layer_index,lowest_base_agl_m,lowest_top_agl_m,lowest_delta_t_c,strongest_delta_t_c,strongest_depth_m,pattern
31004_20000319_1200_12,1,True,False,False,0,0,0.0,136.20000000000005,2.8000000000000096,2.8000000000000096,136.20000000000005,G
31004_20000318_1200_12,2,True,False,True,0,0,0.0,127.0,3.9999999999999716,3.9999999999999716,127.0,G+HE
31004_20000317_1200_12,2,True,False,True,0,0,0.0,136.5,3.1999999999999886,3.1999999999999886,136.5,G+HE
31004_20000320_1200_12,2,True,False,True,0,0,0.0,135.89999999999998,2.5999999999999943,2.5999999999999943,135.89999999999998,G+HE
31004_20000413_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000321_1200_12,1,True,False,False,0,0,0.0,135.89999999999998,2.0,2.0,135.89999999999998,G
31004_20000414_1200_12,1,True,False,False,0,0,0.0,127.10000000000002,2.5,2.5,127.10000000000002,G
31004_20000416_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000417_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000415_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000420_1200_12,1,True,False,False,0,0,0.0,118.89999999999998,1.0,1.0,118.89999999999998,G
31004_20000419_1200_12,1,True,False,False,0,0,0.0,128.10000000000002,1.2000000000000457,1.2000000000000457,128.10000000000002,G
31004_20000418_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000421_1200_12,3,False,False,True,0,2,977.0,1188.2,1.0,2.1999999999999886,35.600000000000364,MULTI
31004_20000423_1200_12,1,False,False,True,0,0,1368.6999999999998,1578.6,0.39999999999997726,0.39999999999997726,209.9000000000001,HE
31004_20000422_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000425_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000429_1200_12,1,False,False,True,0,0,1609.3000000000002,2024.1999999999998,1.8000000000000123,1.8000000000000123,414.89999999999964,HE
31004_20000427_1200_12,2,False,True,True,0,0,128.89999999999998,334.70000000000005,1.3999999999999777,1.3999999999999777,205.80000000000007,E+HE
31004_20000424_1200_12,1,True,False,False,0,0,0.0,118.70000000000005,1.6000000000000227,1.6000000000000227,118.70000000000005,G
31004_20000428_1200_12,1,False,False,True,0,0,1178.6,1586.0,2.0,2.0,407.4000000000001,HE
31004_20000430_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000502_1200_12,1,False,False,True,0,0,3739.8,4158.9,2.0,2.0,419.09999999999945,HE
31004_20000426_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000501_1200_12,1,True,False,False,0,0,0.0,324.9,1.400000000000034,1.400000000000034,324.9,G
31004_20000504_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000503_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000505_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000511_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000506_1200_12,2,False,False,True,0,0,1788.5,1997.1999999999998,1.8000000000000114,1.8000000000000114,208.69999999999982,MULTI
31004_20000512_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000509_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000507_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000519_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000518_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000508_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000510_1200_12,0,False,False,False,,,,,,,,NONE
