year,month,n_profiles,median_850,q25_850,q75_850,n_850,median_700,q25_700,q75_700,n_700,median_500,q25_500,q75_500,n_500
2012,1,62,0.5994252351917311,0.0481828193832601,1.192458636017951,62,0.206582780582789,-0.07950744371460536,0.35150199411650906,62,-0.2060367526828099,-0.3102457346722414,-0.1584411655175092,62
2012,2,58,-0.29883949731745396,-0.6206982784561839,-0.007170514842966337,58,-0.21765044959398017,-0.3358341462731206,-0.08651576875765088,58,-0.378943523718212,-0.4620023119907539,-0.2991656913569145,58
2012,3,62,-0.18495474429786868,-0.5873925882773942,0.11855431722304198,62,-0.4424412292286811,-0.5917412680540499,-0.22747426616160898,62,-0.46764238410436426,-0.5591965464021295,-0.380160213535121,62
2012,4,60,-0.6767633202318732,-0.7725284706871784,-0.4100825755153443,60,-0.556272018263668,-0.7137272942915115,-0.458013716635734,60,-0.5548830094700553,-0.6450151313952478,-0.4816283373224711,60
2012,5,62,-0.703154630940724,-0.8405251000054793,-0.5605715970035696,62,-0.6556768239721886,-0.7461451418025569,-0.49667666588920034,62,-0.6231866275399337,-0.684328420245063,-0.5400083793587038,62
2012,6,59,-0.47314880529926656,-0.6767655332093523,-0.3460696878247144,59,-0.6720082708710247,-0.751263283237942,-0.48679263967601827,59,-0.6522050254543963,-0.7024253795117217,-0.537627149434272,59
2012,7,59,-0.453696290365623,-0.6405873502935362,-0.31284529404753325,59,-0.5820921075158372,-0.6705670590007526,-0.5227663103973301,59,-0.5733022207917605,-0.615833595019428,-0.5297011119134736,59
2012,8,61,-0.4765687053216868,-0.6341537067794034,-0.3156233561283509,61,-0.5732599079173056,-0.6362534626038777,-0.47836579900017334,61,-0.5638230978830435,-0.6183190106895835,-0.4875439715290787,61
2012,9,60,-0.30825241580396623,-0.612794081860999,-0.044693340931540156,60,-0.515487616399614,-0.5831975316763982,-0.42113160947967965,60,-0.5588121993279317,-0.6061002445466966,-0.5152196816179966,60
2012,10,61,-0.610771793448081,-0.6992101514955297,-0.07432181345225128,61,-0.2950260452680579,-0.4787833270747273,-0.12159191881400952,61,-0.42051964212920245,-0.5019360390076002,-0.33972649866689625,61
2012,11,58,0.28996183999071357,-0.04648280136349616,0.6560677650102473,58,-0.06623933758942557,-0.22432451244697157,0.07212492048073411,58,-0.33250943174589465,-0.38346960192081836,-0.269749400953942,58
2012,12,61,0.21493820526598523,-0.37934053107674626,1.1186340889019712,61,0.08553913415387458,-0.15360245763932304,0.3825188868700392,61,-0.21765746156985494,-0.34540744443939436,-0.12198309662803855,61
2013,1,62,0.49646960362772785,0.09586671479535036,0.9401011712484162,62,0.1831051974740721,-0.038878050703138184,0.33573037740979333,62,-0.22753393098581293,-0.33801616144415514,-0.15565391863876388,62
2013,2,56,0.06019213321680615,-0.2401994332912602,0.42249650734692334,56,-0.15475484755565178,-0.3677628417049252,0.07707937625588146,56,-0.3840361449049511,-0.4813620664570175,-0.27331539888739076,56
