profile_id,datetime_utc,year,month,cycle,position_type,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,mean_gradient_c_100m,season,eligible
31004_20000201_1200_12,2000-02-01 12:00:00,2000,2,12,G,0.0,79.60000000000002,79.60000000000002,2.8000000000000096,3.5175879396985037,,DJF,True
31004_20000202_1200_12,2000-02-02 12:00:00,2000,2,12,G,0.0,99.60000000000002,99.60000000000002,1.400000000000034,1.4056224899598733,,DJF,True
31004_20000203_1200_12,2000-02-03 12:00:00,2000,2,12,G,0.0,1249.6,1249.6,10.599999999999994,0.8482714468629958,,DJF,True
31004_20000205_1200_12,2000-02-05 12:00:00,2000,2,12,G,0.0,780.0999999999999,780.0999999999999,11.39999999999998,1.4613511088321989,,DJF,True
31004_20000206_1200_12,2000-02-06 12:00:00,2000,2,12,HE,373.4000000000001,1264.2,890.8,11.400000000000032,1.2797485406376328,,DJF,True
31004_20000206_1200_12,2000-02-06 12:00:00,2000,2,12,HE,4650.8,4689.7,38.899999999999636,2.799999999999983,7.1979434447301,,DJF,True
31004_20000207_1200_12,2000-02-07 12:00:00,2000,2,12,HE,364.5,1255.5,891.0,6.800000000000015,0.7631874298540982,,DJF,True
31004_20000208_1200_12,2000-02-08 12:00:00,2000,2,12,G,0.0,1255.3,1255.3,5.199999999999992,0.4142436071058705,,DJF,True
31004_20000208_1200_12,2000-02-08 12:00:00,2000,2,12,HE,4560.8,4712.3,151.5,2.0,1.3201320132013201,,DJF,True
31004_20000209_1200_12,2000-02-09 12:00:00,2000,2,12,G,0.0,136.70000000000005,136.70000000000005,3.0,2.194586686174103,,DJF,True
31004_20000210_1200_12,2000-02-10 12:00:00,2000,2,12,G,0.0,137.0,137.0,4.200000000000017,3.0656934306569465,,DJF,True
31004_20000210_1200_12,2000-02-10 12:00:00,2000,2,12,HE,1049.3,1272.7,223.4000000000001,0.4000000000000057,0.17905102954342234,,DJF,True
31004_20000210_1200_12,2000-02-10 12:00:00,2000,2,12,HE,1734.9,1952.3000000000002,217.4000000000001,1.0,0.4599816007359704,,DJF,True
31004_20000211_1200_12,2000-02-11 12:00:00,2000,2,12,HE,846.5999999999999,1525.6999999999998,679.0999999999999,3.799999999999983,0.5595641289942547,,DJF,True
31004_20000211_1200_12,2000-02-11 12:00:00,2000,2,12,HE,2197.7,2424.6,226.9000000000001,0.4000000000000057,0.17628911414720386,,DJF,True
31004_20000212_1200_12,2000-02-12 12:00:00,2000,2,12,G,0.0,136.10000000000002,136.10000000000002,1.4000000000000057,1.0286554004408563,,DJF,True
31004_20000212_1200_12,2000-02-12 12:00:00,2000,2,12,HE,1062.2,1960.3000000000002,898.1000000000001,3.2000000000000135,0.35630776082841703,,DJF,True
31004_20000213_1200_12,2000-02-13 12:00:00,2000,2,12,HE,699.4000000000001,1511.6999999999998,812.2999999999997,2.399999999999981,0.2954573433460521,,DJF,True
31004_20000214_1200_12,2000-02-14 12:00:00,2000,2,12,G,0.0,99.60000000000002,99.60000000000002,0.3999999999999808,0.40160642570279187,,DJF,True
31004_20000214_1200_12,2000-02-14 12:00:00,2000,2,12,HE,1051.0,1947.1,896.0999999999999,3.1999999999999886,0.3571030018971085,,DJF,True
31004_20000214_1200_12,2000-02-14 12:00:00,2000,2,12,HE,4520.7,4555.4,34.69999999999982,1.5999999999999943,4.610951008645541,,DJF,True
31004_20000215_1200_12,2000-02-15 12:00:00,2000,2,12,G,0.0,135.60000000000002,135.60000000000002,3.0,2.212389380530973,,DJF,True
31004_20000215_1200_12,2000-02-15 12:00:00,2000,2,12,HE,719.4000000000001,1058.6,339.1999999999998,1.4000000000000057,0.41273584905660565,,DJF,True
31004_20000215_1200_12,2000-02-15 12:00:00,2000,2,12,HE,1506.5,1727.5,221.0,0.8000000000000078,0.3619909502262479,,DJF,True
31004_20000215_1200_12,2000-02-15 12:00:00,2000,2,12,HE,1953.4,2129.3,175.9000000000001,0.5999999999999943,0.3411028993746413,,DJF,True
31004_20000216_1200_12,2000-02-16 12:00:00,2000,2,12,G,0.0,144.29999999999995,144.29999999999995,3.400000000000002,2.3562023562023584,,DJF,True
31004_20000216_1200_12,2000-02-16 12:00:00,2000,2,12,HE,2596.2,2818.6,222.4000000000001,0.3999999999999808,0.17985611510790497,,DJF,True
31004_20000216_1200_12,2000-02-16 12:00:00,2000,2,12,HE,4570.8,4768.5,197.69999999999982,2.0,1.0116337885685391,,DJF,True
31004_20000217_1200_12,2000-02-17 12:00:00,2000,2,12,G,0.0,119.60000000000002,119.60000000000002,3.199999999999992,2.6755852842809293,,DJF,True
31004_20000217_1200_12,2000-02-17 12:00:00,2000,2,12,HE,821.5,1268.5,447.0,1.0,0.22371364653243847,,DJF,True
31004_20000218_1200_12,2000-02-18 12:00:00,2000,2,12,HE,1712.1999999999998,2129.3,417.10000000000036,1.5999999999999979,0.3836010549029001,,DJF,True
31004_20000219_1200_12,2000-02-19 12:00:00,2000,2,12,HE,1274.2,1722.8000000000002,448.60000000000014,3.4000000000000057,0.7579135086937148,,DJF,True
31004_20000220_1200_12,2000-02-20 12:00:00,2000,2,12,HE,1054.6,1504.6999999999998,450.0999999999999,2.799999999999983,0.6220839813374769,,DJF,True
31004_20000220_1200_12,2000-02-20 12:00:00,2000,2,12,HE,2175.3,2390.2,214.89999999999964,0.5999999999999943,0.2791996277338275,,DJF,True
31004_20000221_1200_12,2000-02-21 12:00:00,2000,2,12,G,0.0,136.39999999999998,136.39999999999998,1.0,0.7331378299120236,,DJF,True
31004_20000221_1200_12,2000-02-21 12:00:00,2000,2,12,HE,827.0,1054.6,227.5999999999999,1.0,0.4393673110720564,,DJF,True
31004_20000221_1200_12,2000-02-21 12:00:00,2000,2,12,HE,1737.5,2186.5,449.0,1.8000000000000114,0.4008908685968845,,DJF,True
31004_20000222_1200_12,2000-02-22 12:00:00,2000,2,12,G,0.0,145.5,145.5,0.5999999999999979,0.4123711340206171,,DJF,True
31004_20000222_1200_12,2000-02-22 12:00:00,2000,2,12,HE,2059.3,2208.9,149.5999999999999,0.40000000000000213,0.2673796791443866,,DJF,True
31004_20000223_1200_12,2000-02-23 12:00:00,2000,2,12,HE,2186.5,2645.0,458.5,1.0,0.21810250817884405,,DJF,True
31004_20000224_1200_12,2000-02-24 12:00:00,2000,2,12,G,0.0,136.5,136.5,2.0,1.465201465201465,,DJF,True
31004_20000224_1200_12,2000-02-24 12:00:00,2000,2,12,HE,2089.3,2166.7,77.39999999999964,0.7999999999999865,1.0335917312661373,,DJF,True
31004_20000226_1200_12,2000-02-26 12:00:00,2000,2,12,G,0.0,749.4000000000001,749.4000000000001,10.39999999999998,1.387776888177206,,DJF,True
31004_20000226_1200_12,2000-02-26 12:00:00,2000,2,12,HE,4490.7,4840.1,349.40000000000055,1.4000000000000057,0.4006868918145402,,DJF,True
31004_20000227_1200_12,2000-02-27 12:00:00,2000,2,12,G,0.0,599.0999999999999,599.0999999999999,8.200000000000014,1.3687197462860983,,DJF,True
31004_20000228_1200_12,2000-02-28 12:00:00,2000,2,12,G,19.600000000000023,351.29999999999995,331.69999999999993,0.8000000000000131,0.24118179077480048,,DJF,True
31004_20000229_1200_12,2000-02-29 12:00:00,2000,2,12,G,0.39999999999997726,138.0,137.60000000000002,4.599999999999994,3.3430232558139488,,DJF,True
31004_20000229_1200_12,2000-02-29 12:00:00,2000,2,12,HE,2069.7000000000003,2129.1,59.399999999999636,0.799999999999983,1.3468013468013262,,DJF,True
31004_20000301_1200_12,2000-03-01 12:00:00,2000,3,12,G,0.0,136.5,136.5,3.0000000000000036,2.1978021978022,,MAM,True
31004_20000301_1200_12,2000-03-01 12:00:00,2000,3,12,HE,4490.7,4769.2,278.5,1.1999999999999886,0.4308797127468541,,MAM,True
31004_20000302_1200_12,2000-03-02 12:00:00,2000,3,12,HE,2079.3,2102.6,23.299999999999727,0.4000000000000057,1.7167381974249372,,MAM,True
31004_20000303_1200_12,2000-03-03 12:00:00,2000,3,12,G,0.0,128.60000000000002,128.60000000000002,2.0,1.5552099533437012,,MAM,True
31004_20000303_1200_12,2000-03-03 12:00:00,2000,3,12,HE,2069.3,2111.3,42.0,1.0,2.380952380952381,,MAM,True
31004_20000305_1200_12,2000-03-05 12:00:00,2000,3,12,HE,4430.6,4649.6,219.0,1.5999999999999943,0.7305936073059335,,MAM,True
31004_20000306_1200_12,2000-03-06 12:00:00,2000,3,12,G,0.0,135.89999999999998,135.89999999999998,3.1999999999999886,2.354672553348042,,MAM,True
31004_20000306_1200_12,2000-03-06 12:00:00,2000,3,12,HE,2089.3,2201.0,111.69999999999982,1.1999999999999886,1.074306177260511,,MAM,True
31004_20000308_1200_12,2000-03-08 12:00:00,2000,3,12,G,0.0,136.20000000000005,136.20000000000005,0.5999999999999943,0.44052863436122913,,MAM,True
31004_20000309_1200_12,2000-03-09 12:00:00,2000,3,12,G,0.0,137.10000000000002,137.10000000000002,0.4000000000000057,0.29175784099198077,,MAM,True
31004_20000309_1200_12,2000-03-09 12:00:00,2000,3,12,HE,2069.3,2154.6,85.29999999999973,0.40000000000000213,0.4689331770222783,,MAM,True
31004_20000310_1200_12,2000-03-10 12:00:00,2000,3,12,HE,1265.4,1483.6,218.19999999999982,0.4000000000000057,0.18331805682860036,,MAM,True
31004_20000310_1200_12,2000-03-10 12:00:00,2000,3,12,HE,4460.7,4554.1,93.40000000000055,2.3999999999999773,2.5695931477515668,,MAM,True
31004_20000311_1200_12,2000-03-11 12:00:00,2000,3,12,G,0.0,136.20000000000005,136.20000000000005,5.199999999999992,3.817914831130683,,MAM,True
31004_20000311_1200_12,2000-03-11 12:00:00,2000,3,12,HE,1033.4,1482.1,448.6999999999998,1.2000000000000135,0.2674392689993345,,MAM,True
31004_20000311_1200_12,2000-03-11 12:00:00,2000,3,12,HE,4530.7,4741.5,210.80000000000018,1.200000000000017,0.5692599620493435,,MAM,True
31004_20000312_1200_12,2000-03-12 12:00:00,2000,3,12,G,0.0,135.60000000000002,135.60000000000002,5.199999999999994,3.8348082595870157,,MAM,True
31004_20000312_1200_12,2000-03-12 12:00:00,2000,3,12,HE,1028.8,1249.6,220.79999999999995,1.4000000000000021,0.6340579710144939,,MAM,True
31004_20000312_1200_12,2000-03-12 12:00:00,2000,3,12,HE,1464.9,1685.0,220.0999999999999,0.7999999999999865,0.36347114947750425,,MAM,True
31004_20000313_1200_12,2000-03-13 12:00:00,2000,3,12,G,0.0,126.79999999999995,126.79999999999995,6.199999999999994,4.889589905362773,,MAM,True
31004_20000314_1200_12,2000-03-14 12:00:00,2000,3,12,G,0.0,136.20000000000005,136.20000000000005,5.000000000000027,3.6710719530102973,,MAM,True
31004_20000314_1200_12,2000-03-14 12:00:00,2000,3,12,HE,1234.9,1671.6,436.6999999999998,1.0,0.2289901534234029,,MAM,True
