profile_id,year,month,cycle,pressure_hpa,height_agl_m,gamma_c_per_100m
31004_20000215_1200_12,2000,2,12,750.0,1856.5857142857144,0.1381857467683383
31004_20000215_1200_12,2000,2,12,500.0,4530.7,-0.433080702923295
31004_20000216_1200_12,2000,2,12,850.0,904.8643564356435,-0.00989364333415858
31004_20000216_1200_12,2000,2,12,750.0,1905.6069306930694,-0.009893643334158342
31004_20000216_1200_12,2000,2,12,500.0,4570.8,-0.5746408494690811
31004_20000217_1200_12,2000,2,12,850.0,739.4000000000001,-0.03226847370119267
31004_20000217_1200_12,2000,2,12,750.0,1743.0383177570093,-0.10075491692375464
31004_20000217_1200_12,2000,2,12,500.0,4560.8,-0.582968977722257
31004_20000218_1200_12,2000,2,12,850.0,709.4000000000001,-0.48402710551790895
31004_20000218_1200_12,2000,2,12,750.0,1833.3466666666664,-0.13405143779064138
31004_20000218_1200_12,2000,2,12,500.0,4520.7,-0.6021577318725435
31004_20000219_1200_12,2000,2,12,850.0,699.4000000000001,-0.6776379477250707
31004_20000219_1200_12,2000,2,12,750.0,1788.8833333333337,0.25700255472777617
31004_20000219_1200_12,2000,2,12,500.0,4520.7,-0.5829932539352044
31004_20000220_1200_12,2000,2,12,850.0,689.4000000000001,-0.8389803162310403
31004_20000220_1200_12,2000,2,12,750.0,1813.3523809523813,0.12456043723255536
31004_20000220_1200_12,2000,2,12,500.0,4490.7,-0.5352513172200388
31004_20000221_1200_12,2000,2,12,850.0,679.4000000000001,-0.5247622171203654
31004_20000221_1200_12,2000,2,12,750.0,1814.1585365853657,-0.2196663736348776
31004_20000221_1200_12,2000,2,12,500.0,4420.6,-0.5979583991799428
31004_20000222_1200_12,2000,2,12,850.0,679.4000000000001,-0.557559855690387
31004_20000222_1200_12,2000,2,12,750.0,1813.8658536585367,-0.2799211404959043
31004_20000222_1200_12,2000,2,12,500.0,4380.6,-0.628957911515099
31004_20000223_1200_12,2000,2,12,850.0,689.4000000000001,-0.7744433688286522
31004_20000223_1200_12,2000,2,12,750.0,1815.1348837209302,-0.43258563914838116
31004_20000223_1200_12,2000,2,12,500.0,4420.6,-0.46982445649852644
31004_20000224_1200_12,2000,2,12,850.0,689.4000000000001,-0.25404890441410277
31004_20000224_1200_12,2000,2,12,750.0,1800.1518796992477,-0.5144520408853988
31004_20000224_1200_12,2000,2,12,500.0,4420.6,-0.5919444086990093
31004_20000225_1200_12,2000,2,12,850.0,789.5865671641791,-0.2015035263117104
31004_20000225_1200_12,2000,2,12,750.0,1657.1571428571428,-0.20662626689897856
31004_20000225_1200_12,2000,2,12,500.0,4380.6,-0.43565540511681616
31004_20000226_1200_12,2000,2,12,850.0,749.4000000000001,1.0940919037199124
31004_20000226_1200_12,2000,2,12,750.0,1736.8000000000002,-0.9546208148598261
31004_20000226_1200_12,2000,2,12,500.0,4490.7,-0.538139574613479
31004_20000227_1200_12,2000,2,12,850.0,749.4000000000001,-0.06453694740238877
31004_20000227_1200_12,2000,2,12,750.0,1882.2857142857142,-0.24715643993846412
31004_20000227_1200_12,2000,2,12,500.0,4520.7,-0.5505208774455832
31004_20000228_1200_12,2000,2,12,850.0,659.4000000000001,-0.1250390747108489
31004_20000228_1200_12,2000,2,12,750.0,1619.3333333333335,-0.6111535523300218
31004_20000228_1200_12,2000,2,12,500.0,4480.7,-0.5374989501973623
