profile_id,year,month,cycle,has_G,has_E,has_HE
31004_20001130_1200_12,2000,11,12,True,False,True
31004_20001201_1200_12,2000,12,12,False,False,True
31004_20001202_1200_12,2000,12,12,True,False,True
31004_20001203_1200_12,2000,12,12,False,False,True
31004_20001204_1200_12,2000,12,12,False,False,False
31004_20001205_1200_12,2000,12,12,False,False,True
31004_20001206_1200_12,2000,12,12,False,False,True
31004_20001207_1200_12,2000,12,12,False,False,False
31004_20001208_1200_12,2000,12,12,False,False,False
31004_20001209_1200_12,2000,12,12,False,False,True
31004_20001210_1200_12,2000,12,12,False,False,True
31004_20001211_1200_12,2000,12,12,False,False,True
31004_20001212_1200_12,2000,12,12,False,False,False
31004_20001213_1200_12,2000,12,12,False,False,False
31004_20001214_1200_12,2000,12,12,False,False,False
31004_20001215_1200_12,2000,12,12,False,True,False
31004_20001216_1200_12,2000,12,12,False,False,False
31004_20001217_1200_12,2000,12,12,False,False,True
31004_20001219_1200_12,2000,12,12,False,False,False
31004_20001220_1200_12,2000,12,12,True,False,False
31004_20001221_1200_12,2000,12,12,True,False,True
31004_20001222_1200_12,2000,12,12,False,False,False
31004_20001223_1200_12,2000,12,12,False,False,True
31004_20001224_1200_12,2000,12,12,False,False,True
31004_20001225_1200_12,2000,12,12,False,False,False
31004_20001226_1200_12,2000,12,12,False,False,False
31004_20001227_1200_12,2000,12,12,False,True,False
31004_20001228_1200_12,2000,12,12,True,False,False
31004_20001229_1200_12,2000,12,12,False,False,False
31004_20001230_1200_12,2000,12,12,False,False,True
31004_20001231_1200_12,2000,12,12,False,False,False
31004_20010101_1200_12,2001,1,12,False,False,False
31004_20010102_1200_12,2001,1,12,True,False,False
31004_20010103_1200_12,2001,1,12,False,False,True
31004_20010104_1200_12,2001,1,12,False,True,False
31004_20010106_1200_12,2001,1,12,True,False,False
31004_20010107_1200_12,2001,1,12,False,False,False
31004_20010108_1200_12,2001,1,12,False,False,True
31004_20010109_1200_12,2001,1,12,False,False,True
31004_20010110_1200_12,2001,1,12,False,False,False
31004_20010111_1200_12,2001,1,12,False,False,True
31004_20010112_1200_12,2001,1,12,False,False,True
31004_20010113_1200_12,2001,1,12,False,False,True
31004_20010114_1200_12,2001,1,12,False,False,True
31004_20010115_1200_12,2001,1,12,False,False,True
31004_20010116_1200_12,2001,1,12,False,False,False
31004_20010117_1200_12,2001,1,12,False,True,False
31004_20010118_1200_12,2001,1,12,False,False,False
31004_20010119_1200_12,2001,1,12,False,False,False
31004_20010120_1200_12,2001,1,12,False,False,False
31004_20010121_1200_12,2001,1,12,False,False,False
31004_20010122_1200_12,2001,1,12,False,True,False
31004_20010123_1200_12,2001,1,12,True,False,False
31004_20010124_1200_12,2001,1,12,False,False,False
31004_20010125_1200_12,2001,1,12,True,False,False
31004_20010126_1200_12,2001,1,12,False,True,False
31004_20010127_1200_12,2001,1,12,False,False,False
31004_20010128_1200_12,2001,1,12,False,False,False
31004_20010129_1200_12,2001,1,12,True,False,False
31004_20010130_1200_12,2001,1,12,True,False,False
31004_20010131_1200_12,2001,1,12,False,True,False
31004_20010201_1200_12,2001,2,12,False,False,True
31004_20010202_1200_12,2001,2,12,False,False,True
31004_20010203_1200_12,2001,2,12,False,False,True
31004_20010204_1200_12,2001,2,12,False,False,True
31004_20010205_1200_12,2001,2,12,True,False,False
31004_20010206_1200_12,2001,2,12,True,False,True
31004_20010207_1200_12,2001,2,12,True,False,True
31004_20010208_1200_12,2001,2,12,True,False,False
31004_20010209_1200_12,2001,2,12,False,False,True
31004_20010210_1200_12,2001,2,12,False,False,True
31004_20010211_1200_12,2001,2,12,True,False,False
31004_20010213_1200_12,2001,2,12,False,False,True
31004_20010214_1200_12,2001,2,12,False,False,True
31004_20010215_1200_12,2001,2,12,True,False,False
31004_20010216_1200_12,2001,2,12,True,False,False
31004_20010217_1200_12,2001,2,12,False,True,False
31004_20010218_1200_12,2001,2,12,False,False,False
31004_20010219_1200_12,2001,2,12,True,False,False
31004_20010220_1200_12,2001,2,12,False,False,False
31004_20010221_1200_12,2001,2,12,False,False,False
31004_20010222_1200_12,2001,2,12,False,False,True
31004_20010223_1200_12,2001,2,12,True,False,True
31004_20010224_1200_12,2001,2,12,True,False,True
31004_20010225_1200_12,2001,2,12,False,True,False
31004_20010226_1200_12,2001,2,12,False,True,False
31004_20010227_1200_12,2001,2,12,False,False,True
31004_20010228_1200_12,2001,2,12,True,False,False
31004_20010301_1200_12,2001,3,12,True,False,False
31004_20010302_1200_12,2001,3,12,False,False,True
31004_20010303_1200_12,2001,3,12,False,False,True
31004_20010304_1200_12,2001,3,12,False,False,True
31004_20010305_1200_12,2001,3,12,False,False,False
31004_20010306_1200_12,2001,3,12,False,False,True
31004_20010307_1200_12,2001,3,12,False,False,True
31004_20010308_1200_12,2001,3,12,True,False,True
31004_20010309_1200_12,2001,3,12,False,False,False
31004_20010310_1200_12,2001,3,12,True,False,True
31004_20010311_1200_12,2001,3,12,False,False,False
31004_20010312_1200_12,2001,3,12,False,False,False
31004_20010313_1200_12,2001,3,12,True,False,False
31004_20010314_1200_12,2001,3,12,True,False,False
31004_20010315_1200_12,2001,3,12,True,False,False
31004_20010316_1200_12,2001,3,12,True,False,False
31004_20010318_1200_12,2001,3,12,True,False,False
31004_20010319_1200_12,2001,3,12,False,False,False
31004_20010321_1200_12,2001,3,12,False,False,True
31004_20010322_1200_12,2001,3,12,False,False,False
31004_20010324_1200_12,2001,3,12,False,False,True
31004_20010325_1200_12,2001,3,12,False,False,True
31004_20010326_1200_12,2001,3,12,False,False,False
31004_20010329_1200_12,2001,3,12,True,False,False
31004_20010330_1200_12,2001,3,12,True,False,False
31004_20010331_1200_12,2001,3,12,False,False,False
31004_20010401_1200_12,2001,4,12,False,False,True
31004_20010402_1200_12,2001,4,12,False,False,True
31004_20010403_1200_12,2001,4,12,False,False,False
31004_20010404_1200_12,2001,4,12,False,False,False
31004_20010411_1200_12,2001,4,12,True,False,False
31004_20010412_1200_12,2001,4,12,False,False,True
31004_20010413_1200_12,2001,4,12,False,False,False
31004_20010414_1200_12,2001,4,12,False,False,False
31004_20010415_1200_12,2001,4,12,False,False,True
31004_20010416_1200_12,2001,4,12,False,False,False
31004_20010417_1200_12,2001,4,12,False,False,False
31004_20010418_1200_12,2001,4,12,False,True,False
31004_20010419_1200_12,2001,4,12,False,False,False
31004_20010420_1200_12,2001,4,12,False,False,False
31004_20010421_1200_12,2001,4,12,False,False,False
31004_20010422_1200_12,2001,4,12,False,False,True
31004_20010423_1200_12,2001,4,12,False,False,False
31004_20010424_1200_12,2001,4,12,False,True,False
31004_20010425_1200_12,2001,4,12,True,False,False
31004_20010426_0000_00,2001,4,00,False,False,False
31004_20010426_1200_12,2001,4,12,False,False,True
31004_20010427_0000_00,2001,4,00,False,False,False
31004_20010427_1200_12,2001,4,12,False,False,True
31004_20010428_0000_00,2001,4,00,False,False,True
31004_20010428_1200_12,2001,4,12,False,False,True
31004_20010429_0000_00,2001,4,00,False,False,False
31004_20010429_1200_12,2001,4,12,False,False,False
31004_20010430_0000_00,2001,4,00,False,False,False
31004_20010430_1200_12,2001,4,12,False,False,False
31004_20010501_0000_00,2001,5,00,False,False,False
31004_20010501_1200_12,2001,5,12,False,False,False
31004_20010502_0000_00,2001,5,00,False,False,False
31004_20010502_1200_12,2001,5,12,False,False,False
31004_20010503_0000_00,2001,5,00,False,False,False
31004_20010503_1200_12,2001,5,12,False,False,False
31004_20010504_0000_00,2001,5,00,False,False,True
31004_20010504_1200_12,2001,5,12,False,False,True
31004_20010505_0000_00,2001,5,00,False,False,False
31004_20010505_1200_12,2001,5,12,True,False,False
31004_20010506_0000_00,2001,5,00,False,False,False
31004_20010506_1200_12,2001,5,12,True,False,False
31004_20010507_0000_00,2001,5,00,False,True,False
31004_20010507_1200_12,2001,5,12,False,True,False
31004_20010508_0000_00,2001,5,00,False,False,False
31004_20010508_1200_12,2001,5,12,False,False,True
31004_20010509_0000_00,2001,5,00,False,False,False
31004_20010509_1200_12,2001,5,12,False,False,False
31004_20010510_0000_00,2001,5,00,False,False,True
31004_20010510_1200_12,2001,5,12,False,False,False
31004_20010511_0000_00,2001,5,00,False,False,False
31004_20010511_1200_12,2001,5,12,False,False,False
31004_20010512_0000_00,2001,5,00,False,False,False
31004_20010512_1200_12,2001,5,12,False,False,False
31004_20010513_0000_00,2001,5,00,False,False,False
31004_20010513_1200_12,2001,5,12,True,False,True
31004_20010514_1200_12,2001,5,12,False,False,True
31004_20010515_0000_00,2001,5,00,True,False,False
31004_20010515_1200_12,2001,5,12,False,False,False
31004_20010516_0000_00,2001,5,00,False,False,False
31004_20010516_1200_12,2001,5,12,False,False,False
31004_20010517_0000_00,2001,5,00,False,False,False
31004_20010517_1200_12,2001,5,12,False,False,False
31004_20010518_0000_00,2001,5,00,False,False,True
31004_20010518_1200_12,2001,5,12,False,False,False
31004_20010519_0000_00,2001,5,00,False,False,False
31004_20010519_1200_12,2001,5,12,True,False,False
31004_20010520_0000_00,2001,5,00,False,False,False
31004_20010520_1200_12,2001,5,12,False,False,True
31004_20010521_0000_00,2001,5,00,False,False,False
31004_20010521_1200_12,2001,5,12,False,False,False
31004_20010522_0000_00,2001,5,00,False,False,False
31004_20010522_1200_12,2001,5,12,False,False,False
31004_20010523_0000_00,2001,5,00,False,False,True
31004_20010523_1200_12,2001,5,12,False,False,False
31004_20010524_0000_00,2001,5,00,False,False,False
31004_20010524_1200_12,2001,5,12,False,False,False
31004_20010525_0000_00,2001,5,00,False,False,False
31004_20010525_1200_12,2001,5,12,False,False,False
31004_20010526_0000_00,2001,5,00,False,False,False
31004_20010526_1200_12,2001,5,12,False,False,False
31004_20010527_0000_00,2001,5,00,False,False,False
31004_20010527_1200_12,2001,5,12,False,False,False
31004_20010528_0000_00,2001,5,00,False,False,True
