profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991227_1200_12,1999-12-27 12:00:00,1999,12,12,1,HE,700.0,718.0,2779.3,2826.9,2099.3,2146.9,47.59999999999991,0.4000000000000057,0.8403361344537951,,0,0.0,height-primary gap-v3
31004_19991228_1200_12,1999-12-28 12:00:00,1999,12,12,0,G,930.0,890.0,680.0,1049.3,0.0,369.29999999999995,369.29999999999995,9.599999999999994,2.5995125913891135,,0,0.0,height-primary gap-v3
31004_19991228_1200_12,1999-12-28 12:00:00,1999,12,12,1,HE,500.0,522.0,5090.6,5293.8,4410.6,4613.8,203.19999999999982,2.1999999999999886,1.0826771653543261,,0,0.0,height-primary gap-v3
31004_19991229_1200_12,1999-12-29 12:00:00,1999,12,12,0,G,938.0,873.0,680.0,1281.7,0.0,601.7,601.7,4.199999999999989,0.698022270234334,,0,0.0,height-primary gap-v3
31004_19991230_1200_12,1999-12-30 12:00:00,1999,12,12,0,G,941.0,875.0,680.0,1289.2,0.0,609.2,609.2,11.400000000000006,1.8713066316480635,,0,0.0,height-primary gap-v3
31004_19991230_1200_12,1999-12-30 12:00:00,1999,12,12,1,HE,500.0,524.0,5120.6,5353.7,4440.6,4673.7,233.09999999999945,2.3999999999999773,1.0296010296010223,,0,0.0,height-primary gap-v3
31004_19991231_1200_12,1999-12-31 12:00:00,1999,12,12,0,G,943.0,902.0,680.0,1053.4,0.0,373.4000000000001,373.4000000000001,15.200000000000017,4.070701660417787,,1,4.600000000000023,height-primary gap-v3
31004_20000101_1200_12,2000-01-01 12:00:00,2000,1,12,0,G,950.0,909.0,680.0,1050.6,0.0,370.5999999999999,370.5999999999999,9.400000000000006,2.5364274150027004,,0,0.0,height-primary gap-v3
31004_20000103_1200_12,2000-01-03 12:00:00,2000,1,12,0,G,941.0,850.0,680.0,1439.3,0.0,759.3,759.3,16.600000000000023,2.1862241538258953,,0,0.0,height-primary gap-v3
31004_20000104_1200_12,2000-01-04 12:00:00,2000,1,12,0,G,948.0,882.0,680.0,1284.6,0.0,604.5999999999999,604.5999999999999,12.599999999999996,2.084022494211048,,0,0.0,height-primary gap-v3
31004_20000105_1200_12,2000-01-05 12:00:00,2000,1,12,0,G,955.0,688.0,680.0,3361.8,0.0,2681.8,2681.8,6.599999999999994,0.24610336341263309,,0,0.0,height-primary gap-v3
31004_20000106_1200_12,2000-01-06 12:00:00,2000,1,12,0,G,952.0,722.0,680.0,2952.6,0.0,2272.6,2272.6,4.400000000000006,0.19361084220716385,,1,56.700000000000045,height-primary gap-v3
31004_20000106_1200_12,2000-01-06 12:00:00,2000,1,12,1,HE,500.0,541.0,5140.7,5200.1,4460.7,4520.1,59.400000000000546,3.8000000000000114,6.397306397306358,,0,0.0,height-primary gap-v3
31004_20000108_1200_12,2000-01-08 12:00:00,2000,1,12,0,G,939.0,850.0,680.0,1399.4,0.0,719.4000000000001,719.4000000000001,10.599999999999994,1.4734500973033076,,1,35.10000000000002,height-primary gap-v3
31004_20000108_1200_12,2000-01-08 12:00:00,2000,1,12,1,HE,500.0,517.0,5230.7,5439.0,4550.7,4759.0,208.30000000000018,0.8000000000000114,0.38406144983197826,,0,0.0,height-primary gap-v3
31004_20000109_1200_12,2000-01-09 12:00:00,2000,1,12,0,E,923.0,805.0,824.7,1960.1,144.70000000000005,1280.1,1135.3999999999999,9.199999999999992,0.8102871234807111,,0,0.0,height-primary gap-v3
31004_20000110_1200_12,2000-01-10 12:00:00,2000,1,12,0,G,943.0,787.0,680.0,2179.6,0.0,1499.6,1499.6,8.0,0.5334755934915978,,0,0.0,height-primary gap-v3
31004_20000111_1200_12,2000-01-11 12:00:00,2000,1,12,0,G,948.0,932.0,680.0,823.4,0.0,143.39999999999998,143.39999999999998,3.400000000000002,2.3709902370990257,,0,0.0,height-primary gap-v3
31004_20000111_1200_12,2000-01-11 12:00:00,2000,1,12,1,HE,857.0,788.0,1523.2,2212.3,843.2,1532.3000000000002,689.1000000000001,6.199999999999992,0.8997242780438239,,0,0.0,height-primary gap-v3
31004_20000112_1200_12,2000-01-12 12:00:00,2000,1,12,0,G,937.0,850.0,680.0,1389.4,0.0,709.4000000000001,709.4000000000001,5.400000000000006,0.7612066535100092,,0,0.0,height-primary gap-v3
31004_20000112_1200_12,2000-01-12 12:00:00,2000,1,12,1,HE,500.0,528.0,5180.7,5264.0,4500.7,4584.0,83.30000000000018,2.5999999999999943,3.1212484993997465,,0,0.0,height-primary gap-v3
31004_20000113_1200_12,2000-01-13 12:00:00,2000,1,12,0,G,933.0,925.0,680.0,749.6,0.0,69.60000000000002,69.60000000000002,0.8000000000000114,1.1494252873563378,,0,0.0,height-primary gap-v3
31004_20000114_1200_12,2000-01-14 12:00:00,2000,1,12,0,G,938.0,898.0,680.0,1046.1,0.0,366.0999999999999,366.0999999999999,4.400000000000002,1.2018574160065565,,0,0.0,height-primary gap-v3
31004_20000115_1200_12,2000-01-15 12:00:00,2000,1,12,0,G,941.0,925.0,680.0,809.6,0.0,129.60000000000002,129.60000000000002,0.8000000000000114,0.6172839506172926,,0,0.0,height-primary gap-v3
31004_20000116_1200_12,2000-01-16 12:00:00,2000,1,12,0,G,940.0,850.0,680.0,1429.4,0.0,749.4000000000001,749.4000000000001,5.800000000000008,0.773952495329598,,0,0.0,height-primary gap-v3
