profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c
31004_20000501_1200_12,2000-05-01 12:00:00,2000,5,12,0,G,923.0,888.0,680.0,1004.9,0.0,324.9,324.9,1.400000000000034,0.43090181594337773,-1.8000000000000096
31004_20000505_0000_00,2000-05-05 00:00:00,2000,5,00,0,HE,726.0,707.0,2677.2,2890.3,1997.1999999999998,2210.3,213.10000000000036,0.6000000000000227,0.281557954012211,-9.200000000000017
31004_20000506_1200_12,2000-05-06 12:00:00,2000,5,12,0,HE,700.0,672.0,2879.3,3295.3,2199.3,2615.3,416.0,1.6000000000000227,0.3846153846153901,-10.0
31004_20000513_1200_12,2000-05-13 12:00:00,2000,5,12,0,HE,697.0,679.0,3064.5,3272.9,2384.5,2592.9,208.4000000000001,1.1999999999999886,0.575815738963526,-2.0
31004_20000514_1200_12,2000-05-14 12:00:00,2000,5,12,0,HE,774.0,754.0,2254.6,2467.0,1574.6,1787.0,212.4000000000001,2.0,0.9416195856873819,-2.1999999999999886
31004_20000515_1200_12,2000-05-15 12:00:00,2000,5,12,0,HE,700.0,682.0,2999.4,3280.3,2319.4,2600.3,280.9000000000001,0.8000000000000096,0.2847988608045601,-4.19999999999999
31004_20000521_1200_12,2000-05-21 12:00:00,2000,5,12,0,E,912.0,890.0,799.2,1004.2,119.20000000000005,324.20000000000005,205.0,0.6000000000000245,0.29268292682928027,-3.6000000000000245
31004_20000525_1200_12,2000-05-25 12:00:00,2000,5,12,0,HE,673.0,656.0,3266.3,3469.0,2586.3,2789.0,202.69999999999982,0.2000000000000437,0.09866798223978485,-12.200000000000015
31004_20000606_1200_12,2000-06-06 12:00:00,2000,6,12,0,HE,684.0,667.0,3197.5,3397.2,2517.5,2717.2,199.69999999999982,0.4000000000000341,0.2003004506760313,-12.600000000000023
31004_20000608_1200_12,2000-06-08 12:00:00,2000,6,12,0,G,925.0,915.0,699.6,798.9,19.600000000000023,118.89999999999998,99.29999999999995,0.3999999999999737,0.4028197381671439,-5.599999999999966
31004_20000609_1200_12,2000-06-09 12:00:00,2000,6,12,0,G,925.0,913.0,689.6,799.1,9.600000000000023,119.10000000000002,109.5,1.0,0.91324200913242,-5.199999999999989
31004_20000612_1200_12,2000-06-12 12:00:00,2000,6,12,0,HE,719.0,684.0,2824.3,3223.1,2144.3,2543.1,398.7999999999997,1.599999999999966,0.40120361083248923,-6.799999999999956
31004_20000616_1200_12,2000-06-16 12:00:00,2000,6,12,0,HE,607.0,592.0,4162.1,4356.1,3482.1000000000004,3676.1000000000004,194.0,0.3999999999999764,0.2061855670102971,-7.399999999999979
31004_20000620_1200_12,2000-06-20 12:00:00,2000,6,12,0,HE,604.0,574.0,4142.0,4536.3,3462.0,3856.3,394.3000000000002,0.5999999999999659,0.1521683996956545,-4.799999999999956
31004_20000622_1200_12,2000-06-22 12:00:00,2000,6,12,0,HE,772.0,734.0,2249.5,2658.3,1569.5,1978.3000000000002,408.8000000000002,1.6000000000000227,0.39138943248532826,-1.6000000000000227
31004_20000623_1200_12,2000-06-23 12:00:00,2000,6,12,0,HE,735.0,717.0,2612.6,2812.2,1932.6,2132.2,199.5999999999999,0.39999999999997726,0.20040080160319512,-4.800000000000011
31004_20000624_1200_12,2000-06-24 12:00:00,2000,6,12,0,HE,682.0,665.0,3177.9,3378.3,2497.9,2698.3,200.4000000000001,1.5,0.7485029940119757,-7.5
31004_20000626_1200_12,2000-06-26 12:00:00,2000,6,12,0,HE,892.0,830.0,1003.5,1602.7,323.5,922.7,599.2,0.8000000000000114,0.13351134846462137,-5.2000000000000455
31004_20000701_1200_12,2000-07-01 12:00:00,2000,7,12,0,HE,618.0,603.0,3963.4,4154.9,3283.4,3474.8999999999996,191.49999999999955,0.20000000000004547,0.10443864229767413,-5.800000000000011
31004_20000702_1200_12,2000-07-02 12:00:00,2000,7,12,0,HE,686.0,669.0,3165.7,3365.0,2485.7,2685.0,199.30000000000018,2.3000000000000114,1.1540391369794325,-3.5
31004_20000708_1200_12,2000-07-08 12:00:00,2000,7,12,0,G,925.0,912.0,680.0,799.2,0.0,119.20000000000005,119.20000000000005,0.20000000000004547,0.16778523489936695,-1.8000000000000114
31004_20000710_1200_12,2000-07-10 12:00:00,2000,7,12,0,HE,850.0,805.0,1339.4,1801.2,659.4000000000001,1121.2,461.79999999999995,2.6000000000000227,0.563014291901261,-7.600000000000023
31004_20000713_1200_12,2000-07-13 12:00:00,2000,7,12,0,E,912.0,891.0,799.2,994.8,119.20000000000005,314.79999999999995,195.5999999999999,5.599999999999966,2.8629856850715587,-7.799999999999956
31004_20000716_1200_12,2000-07-16 12:00:00,2000,7,12,0,E,918.0,897.0,789.4,983.7,109.39999999999998,303.70000000000005,194.30000000000007,0.39999999999997726,0.2058672156458966,-4.0
31004_20000717_1200_12,2000-07-17 12:00:00,2000,7,12,0,HE,700.0,689.0,3069.4,3122.3,2389.4,2442.3,52.90000000000009,0.4000000000000341,0.7561436672968496,-6.300000000000011
